Date,Open,High,Low,Close
12/1/1994,0.7688,0.78,0.7656,0.775
1/1/1995,0.775,0.7765,0.755,0.7563
2/1/1995,0.7564,0.7605,0.735,0.7387
3/1/1995,0.7388,0.7472,0.7212,0.7335
4/1/1995,0.7338,0.7462,0.7228,0.7275
5/1/1995,0.7274,0.744,0.7119,0.7177
6/1/1995,0.7179,0.7288,0.7072,0.7092
7/1/1995,0.7104,0.7409,0.707,0.7383
8/1/1995,0.7381,0.7591,0.7293,0.7509
9/1/1995,0.7503,0.7671,0.7435,0.7551
10/1/1995,0.7553,0.7705,0.7447,0.7605
11/1/1995,0.7595,0.7622,0.7334,0.7435
12/1/1995,0.7435,0.75,0.7348,0.7425
1/1/1996,0.7446,0.7495,0.7303,0.7463
2/1/1996,0.7463,0.7655,0.7435,0.764
3/1/1996,0.764,0.785,0.7569,0.7818
4/1/1996,0.7838,0.7932,0.7789,0.7872
5/1/1996,0.7866,0.805,0.7863,0.7984
6/1/1996,0.7994,0.8029,0.7846,0.7878
7/1/1996,0.7872,0.7998,0.771,0.7725
8/1/1996,0.7732,0.7945,0.768,0.7893
9/1/1996,0.7904,0.8021,0.7851,0.7912
10/1/1996,0.791,0.7987,0.785,0.7913
11/1/1996,0.7912,0.8168,0.7813,0.816
12/1/1996,0.818,0.8215,0.7845,0.7945
1/1/1997,0.7944,0.7946,0.759,0.7621
2/1/1997,0.7622,0.7816,0.7549,0.7781
3/1/1997,0.7788,0.8005,0.7784,0.7857
4/1/1997,0.7856,0.7895,0.7685,0.7804
5/1/1997,0.7808,0.789,0.759,0.76
6/1/1997,0.76,0.7642,0.743,0.7537
7/1/1997,0.7541,0.7555,0.731,0.748
8/1/1997,0.7468,0.7507,0.729,0.732
9/1/1997,0.7315,0.7341,0.7143,0.7254
10/1/1997,0.7248,0.7414,0.6815,0.701
11/1/1997,0.7007,0.7171,0.6746,0.6805
12/1/1997,0.6819,0.6825,0.6452,0.6505
1/1/1998,0.6508,0.6875,0.6315,0.6845
2/1/1998,0.6821,0.6876,0.6596,0.6785
3/1/1998,0.6792,0.6848,0.6585,0.6621
4/1/1998,0.6622,0.6628,0.6423,0.649
5/1/1998,0.6492,0.6548,0.616,0.6227
6/1/1998,0.6234,0.628,0.5797,0.6205
7/1/1998,0.6199,0.6333,0.603,0.6058
8/1/1998,0.6055,0.611,0.5485,0.568
9/1/1998,0.5663,0.6038,0.565,0.5931
10/1/1998,0.5933,0.6414,0.581,0.6233
11/1/1998,0.6236,0.6478,0.6212,0.6283
12/1/1998,0.6284,0.638,0.6053,0.6115
1/1/1999,0.6123,0.646,0.6112,0.6303
2/1/1999,0.6316,0.6545,0.6165,0.6185
3/1/1999,0.6191,0.6419,0.616,0.6345
4/1/1999,0.633,0.6633,0.6224,0.661
5/1/1999,0.6604,0.6745,0.646,0.6486
6/1/1999,0.6485,0.6683,0.6405,0.668
7/1/1999,0.6664,0.6718,0.6415,0.6506
8/1/1999,0.65,0.6599,0.6282,0.6392
9/1/1999,0.6405,0.6596,0.6359,0.6523
10/1/1999,0.651,0.6662,0.6355,0.6384
11/1/1999,0.6397,0.6476,0.6295,0.6351
12/1/1999,0.6348,0.657,0.6295,0.6563
1/1/2000,0.6565,0.6685,0.6225,0.6366
2/1/2000,0.637,0.6426,0.61,0.6186
3/1/2000,0.6175,0.6191,0.6005,0.6073
4/1/2000,0.6068,0.6103,0.5815,0.5836
5/1/2000,0.5847,0.5974,0.5645,0.5722
6/1/2000,0.5725,0.6101,0.5681,0.5964
7/1/2000,0.5972,0.6015,0.5745,0.5803
8/1/2000,0.5808,0.5945,0.5665,0.5767
9/1/2000,0.5764,0.5791,0.5358,0.5425
10/1/2000,0.5428,0.5474,0.5108,0.5201
11/1/2000,0.519,0.534,0.5073,0.5283
12/1/2000,0.5284,0.56,0.5275,0.5585
1/1/2001,0.559,0.5725,0.541,0.5505
2/1/2001,0.5504,0.559,0.5209,0.5263
3/1/2001,0.5263,0.5303,0.485,0.4856
4/1/2001,0.4854,0.5199,0.4775,0.5123
5/1/2001,0.5125,0.5318,0.5039,0.5065
6/1/2001,0.5064,0.5302,0.5037,0.5118
7/1/2001,0.5117,0.5199,0.5011,0.51
8/1/2001,0.51,0.5392,0.5081,0.5295
9/1/2001,0.5285,0.5286,0.4822,0.4912
10/1/2001,0.4926,0.517,0.4902,0.503
11/1/2001,0.5034,0.5245,0.5026,0.5218
12/1/2001,0.5218,0.5221,0.5043,0.5094
1/1/2002,0.5098,0.5271,0.5052,0.5077
2/1/2002,0.5078,0.5195,0.5057,0.518
3/1/2002,0.518,0.5358,0.5165,0.5337
4/1/2002,0.5332,0.5459,0.5258,0.5383
5/1/2002,0.5385,0.57,0.5342,0.5674
6/1/2002,0.5674,0.58,0.5557,0.5637
7/1/2002,0.5634,0.5714,0.5346,0.5432
8/1/2002,0.5433,0.5547,0.523,0.5509
9/1/2002,0.5499,0.5543,0.5396,0.5429
10/1/2002,0.5429,0.56,0.5401,0.5544
11/1/2002,0.5542,0.5679,0.5542,0.5608
12/1/2002,0.5607,0.5692,0.5561,0.5612
1/1/2003,0.5595,0.5941,0.5595,0.5868
2/1/2003,0.5868,0.6088,0.5821,0.608
3/1/2003,0.608,0.618,0.5875,0.6036
4/1/2003,0.6036,0.6265,0.5924,0.6262
5/1/2003,0.6262,0.6623,0.6253,0.6532
6/1/2003,0.6532,0.6741,0.648,0.6735
7/1/2003,0.6735,0.6845,0.644,0.6484
8/1/2003,0.6484,0.663,0.6352,0.6471
9/1/2003,0.6471,0.687,0.634,0.6797
10/1/2003,0.6797,0.7106,0.6756,0.7075
11/1/2003,0.7075,0.7265,0.6942,0.7242
12/1/2003,0.7242,0.7537,0.7228,0.7521
1/1/2004,0.7519,0.7814,0.7496,0.7637
2/1/2004,0.7636,0.8008,0.7561,0.7729
3/1/2004,0.7736,0.7772,0.7255,0.7664
4/1/2004,0.7666,0.7693,0.7125,0.7199
5/1/2004,0.7198,0.7342,0.6798,0.7154
6/1/2004,0.7073,0.7092,0.6772,0.7047
7/1/2004,0.7047,0.7346,0.6932,0.6991
8/1/2004,0.7035,0.7262,0.6955,0.7031
9/1/2004,0.7031,0.7284,0.685,0.7259
10/1/2004,0.7259,0.7507,0.7184,0.7461
11/1/2004,0.7461,0.7945,0.7432,0.7765
12/1/2004,0.7765,0.7842,0.7441,0.78
1/1/2005,0.78,0.7835,0.7503,0.7738
2/1/2005,0.7738,0.7956,0.7611,0.787
3/1/2005,0.787,0.7988,0.7666,0.7709
4/1/2005,0.7709,0.7831,0.7626,0.7787
5/1/2005,0.7802,0.7825,0.7528,0.7603
6/1/2005,0.7493,0.7808,0.7481,0.7617
7/1/2005,0.7501,0.7687,0.7365,0.7597
8/1/2005,0.7614,0.7753,0.7463,0.7488
9/1/2005,0.7624,0.7762,0.7527,0.7597
10/1/2005,0.7625,0.7644,0.7436,0.7495
11/1/2005,0.7441,0.745,0.726,0.7376
12/1/2005,0.7417,0.7578,0.7232,0.7313
1/1/2006,0.7327,0.7588,0.7316,0.758
2/1/2006,0.758,0.7588,0.7344,0.7424
3/1/2006,0.7422,0.7486,0.7016,0.716
4/1/2006,0.7164,0.758,0.7116,0.7559
5/1/2006,0.7595,0.7791,0.7493,0.7517
6/1/2006,0.752,0.7545,0.7273,0.7429
7/1/2006,0.7429,0.7674,0.7403,0.7654
8/1/2006,0.7653,0.7712,0.7554,0.7634
9/1/2006,0.7637,0.7719,0.7438,0.7451
10/1/2006,0.7456,0.7752,0.7417,0.7735
11/1/2006,0.7736,0.7901,0.7618,0.789
12/1/2006,0.7887,0.7929,0.778,0.7891
1/1/2007,0.7921,0.7979,0.77,0.7767
2/1/2007,0.7767,0.7945,0.7711,0.7874
3/1/2007,0.7875,0.8121,0.7684,0.8089
4/1/2007,0.8099,0.839,0.8066,0.8295
5/1/2007,0.8297,0.8351,0.8166,0.8275
6/1/2007,0.8269,0.8521,0.8269,0.848
7/1/2007,0.8488,0.887,0.8462,0.8505
8/1/2007,0.8496,0.8661,0.7677,0.8182
9/1/2007,0.8184,0.8885,0.8156,0.8872
10/1/2007,0.8886,0.9344,0.8755,0.9318
11/1/2007,0.9317,0.9399,0.8654,0.883
12/1/2007,0.8828,0.8903,0.8556,0.877
1/1/2008,0.88,0.9018,0.8515,0.8957
2/1/2008,0.8955,0.9496,0.8877,0.9315
3/1/2008,0.9295,0.9471,0.8958,0.9134
4/1/2008,0.9136,0.954,0.9033,0.9432
5/1/2008,0.9431,0.9653,0.9277,0.9558
6/1/2008,0.9541,0.9666,0.9329,0.958
7/1/2008,0.9581,0.9847,0.94,0.9411
8/1/2008,0.9412,0.9416,0.8495,0.8585
9/1/2008,0.8549,0.8553,0.7804,0.7946
10/1/2008,0.794,0.8018,0.6011,0.6657
11/1/2008,0.6698,0.7014,0.6079,0.6546
12/1/2008,0.6546,0.7136,0.6292,0.7059
1/1/2009,0.6974,0.7268,0.6348,0.6352
2/1/2009,0.6347,0.6848,0.6251,0.6393
3/1/2009,0.6378,0.7092,0.6287,0.6913
4/1/2009,0.6907,0.7383,0.6859,0.7252
5/1/2009,0.725,0.8012,0.7244,0.8007
6/1/2009,0.8009,0.8263,0.7791,0.8057
7/1/2009,0.8053,0.8365,0.7703,0.8361
8/1/2009,0.8355,0.8477,0.8158,0.8435
9/1/2009,0.8433,0.8846,0.8242,0.8837
10/1/2009,0.8837,0.9327,0.8571,0.9001
11/1/2009,0.899,0.9405,0.8909,0.9156
12/1/2009,0.9159,0.9321,0.8736,0.8974
1/1/2010,0.8975,0.9329,0.8841,0.8841
2/1/2010,0.88,0.907,0.858,0.896
3/1/2010,0.8976,0.9251,0.8937,0.917
4/1/2010,0.9165,0.9385,0.9137,0.9249
5/1/2010,0.9224,0.9274,0.8068,0.8471
6/1/2010,0.8469,0.8858,0.8084,0.8395
7/1/2010,0.8406,0.9068,0.8317,0.9044
8/1/2010,0.9056,0.9221,0.8774,0.892
9/1/2010,0.8924,0.9733,0.8914,0.9657
10/1/2010,0.9656,1.0002,0.9543,0.9798
11/1/2010,0.985,1.0182,0.9545,0.959
12/1/2010,0.9586,1.0256,0.9539,1.0233
1/1/2011,1.0203,1.0223,0.9806,0.99692
2/1/2011,0.99715,1.01993,0.99447,1.01826
3/1/2011,1.01808,1.03721,0.97101,1.03323
4/1/2011,1.03303,1.09762,1.02897,1.09659
5/1/2011,1.09534,1.10108,1.0442,1.06573
6/1/2011,1.06564,1.07738,1.03919,1.07132
7/1/2011,1.07069,1.10792,1.05269,1.09854
8/1/2011,1.09995,1.1064,0.99296,1.06826
9/1/2011,1.06862,1.07636,0.96237,0.96783
10/1/2011,0.96607,1.0752,0.93888,1.05393
11/1/2011,1.05407,1.05656,0.9665,1.02778
12/1/2011,1.0277,1.03789,0.98629,1.02155
1/1/2012,1.02285,1.06866,1.01468,1.06155
2/1/2012,1.0617,1.08552,1.05707,1.07303
3/1/2012,1.0729,1.08161,1.03059,1.03429
4/1/2012,1.04344,1.04734,1.02275,1.04264
5/1/2012,1.04268,1.04287,0.96748,0.97252
6/1/2012,0.97267,1.02563,0.95983,1.02418
7/1/2012,1.02346,1.05372,1.01015,1.04889
8/1/2012,1.04932,1.0612,1.02776,1.03168
9/1/2012,1.02741,1.06237,1.01677,1.03784
10/1/2012,1.03656,1.04101,1.01508,1.03737
11/1/2012,1.0374,1.04888,1.02887,1.04257
12/1/2012,1.04349,1.05845,1.03465,1.03921
1/1/2013,1.04702,1.05971,1.03813,1.04258
2/1/2013,1.04243,1.04566,1.01845,1.0215
3/1/2013,1.02128,1.04959,1.01166,1.04162
4/1/2013,1.0405,1.05813,1.02223,1.03659
5/1/2013,1.03654,1.03808,0.95293,0.95698
6/1/2013,0.96218,0.97908,0.91147,0.9132
7/1/2013,0.91364,0.93172,0.89284,0.89492
8/1/2013,0.89439,0.92324,0.88491,0.89009
9/1/2013,0.89354,0.95272,0.89265,0.93248
10/1/2013,0.93222,0.97566,0.9291,0.94568
11/1/2013,0.94586,0.95424,0.90571,0.91067
12/1/2013,0.91269,0.91674,0.88226,0.89271
1/1/2014,0.89127,0.90853,0.86615,0.87504
2/1/2014,0.8765,0.90796,0.87315,0.89298
3/1/2014,0.88929,0.92941,0.88917,0.92688
4/1/2014,0.92652,0.94603,0.92071,0.92813
5/1/2014,0.92852,0.94081,0.9204,0.93106
6/1/2014,0.93056,0.9444,0.9231,0.94304
7/1/2014,0.94302,0.9504,0.92805,0.9295
8/1/2014,0.92939,0.93731,0.92391,0.9332
9/1/2014,0.93241,0.94007,0.8685,0.87467
10/1/2014,0.87464,0.89101,0.86441,0.87942
11/1/2014,0.87503,0.87948,0.84813,0.85087
12/1/2014,0.84663,0.85414,0.80895,0.81604
1/1/2015,0.81276,0.82949,0.77202,0.7769
2/1/2015,0.77521,0.79129,0.76266,0.78135
3/1/2015,0.78072,0.79381,0.75608,0.76135
4/1/2015,0.76111,0.80755,0.75333,0.79017
5/1/2015,0.79015,0.81633,0.76179,0.76395
6/1/2015,0.76346,0.78485,0.75883,0.77035
7/1/2015,0.77035,0.77385,0.72572,0.73072
