Date,Open,High,Low,Close,Average
12/1/1994,0.7688,0.7800,0.7656,0.7750,0.7728
1/1/1995,0.7750,0.7765,0.7550,0.7563,0.7657
2/1/1995,0.7564,0.7605,0.7350,0.7387,0.7477
3/1/1995,0.7388,0.7472,0.7212,0.7335,0.7342
4/1/1995,0.7338,0.7462,0.7228,0.7275,0.7345
5/1/1995,0.7274,0.7440,0.7119,0.7177,0.7279
6/1/1995,0.7179,0.7288,0.7072,0.7092,0.7180
7/1/1995,0.7104,0.7409,0.7070,0.7383,0.7239
8/1/1995,0.7381,0.7591,0.7293,0.7509,0.7442
9/1/1995,0.7503,0.7671,0.7435,0.7551,0.7553
10/1/1995,0.7553,0.7705,0.7447,0.7605,0.7576
11/1/1995,0.7595,0.7622,0.7334,0.7435,0.7478
12/1/1995,0.7435,0.7500,0.7348,0.7425,0.7424
1/1/1996,0.7446,0.7495,0.7303,0.7463,0.7399
2/1/1996,0.7463,0.7655,0.7435,0.7640,0.7545
3/1/1996,0.7640,0.7850,0.7569,0.7818,0.7710
4/1/1996,0.7838,0.7932,0.7789,0.7872,0.7861
5/1/1996,0.7866,0.8050,0.7863,0.7984,0.7956
6/1/1996,0.7994,0.8029,0.7846,0.7878,0.7937
7/1/1996,0.7872,0.7998,0.7710,0.7725,0.7854
8/1/1996,0.7732,0.7945,0.7680,0.7893,0.7812
9/1/1996,0.7904,0.8021,0.7851,0.7912,0.7936
10/1/1996,0.7910,0.7987,0.7850,0.7913,0.7918
11/1/1996,0.7912,0.8168,0.7813,0.8160,0.7991
12/1/1996,0.8180,0.8215,0.7845,0.7945,0.8030
1/1/1997,0.7944,0.7946,0.7590,0.7621,0.7768
2/1/1997,0.7622,0.7816,0.7549,0.7781,0.7682
3/1/1997,0.7788,0.8005,0.7784,0.7857,0.7894
4/1/1997,0.7856,0.7895,0.7685,0.7804,0.7790
5/1/1997,0.7808,0.7890,0.7590,0.7600,0.7740
6/1/1997,0.7600,0.7642,0.7430,0.7537,0.7536
7/1/1997,0.7541,0.7555,0.7310,0.7480,0.7432
8/1/1997,0.7468,0.7507,0.7290,0.7320,0.7399
9/1/1997,0.7315,0.7341,0.7143,0.7254,0.7242
10/1/1997,0.7248,0.7414,0.6815,0.7010,0.7114
11/1/1997,0.7007,0.7171,0.6746,0.6805,0.6958
12/1/1997,0.6819,0.6825,0.6452,0.6505,0.6639
1/1/1998,0.6508,0.6875,0.6315,0.6845,0.6595
2/1/1998,0.6821,0.6876,0.6596,0.6785,0.6736
3/1/1998,0.6792,0.6848,0.6585,0.6621,0.6716
4/1/1998,0.6622,0.6628,0.6423,0.6490,0.6525
5/1/1998,0.6492,0.6548,0.6160,0.6227,0.6354
6/1/1998,0.6234,0.6280,0.5797,0.6205,0.6038
7/1/1998,0.6199,0.6333,0.6030,0.6058,0.6181
8/1/1998,0.6055,0.6110,0.5485,0.5680,0.5797
9/1/1998,0.5663,0.6038,0.5650,0.5931,0.5844
10/1/1998,0.5933,0.6414,0.5810,0.6233,0.6112
11/1/1998,0.6236,0.6478,0.6212,0.6283,0.6345
12/1/1998,0.6284,0.6380,0.6053,0.6115,0.6217
1/1/1999,0.6123,0.6460,0.6112,0.6303,0.6286
2/1/1999,0.6316,0.6545,0.6165,0.6185,0.6355
3/1/1999,0.6191,0.6419,0.6160,0.6345,0.6290
4/1/1999,0.6330,0.6633,0.6224,0.6610,0.6428
5/1/1999,0.6604,0.6745,0.6460,0.6486,0.6603
6/1/1999,0.6485,0.6683,0.6405,0.6680,0.6544
7/1/1999,0.6664,0.6718,0.6415,0.6506,0.6566
8/1/1999,0.6500,0.6599,0.6282,0.6392,0.6441
9/1/1999,0.6405,0.6596,0.6359,0.6523,0.6478
10/1/1999,0.6510,0.6662,0.6355,0.6384,0.6508
11/1/1999,0.6397,0.6476,0.6295,0.6351,0.6385
12/1/1999,0.6348,0.6570,0.6295,0.6563,0.6432
1/1/2000,0.6565,0.6685,0.6225,0.6366,0.6455
2/1/2000,0.6370,0.6426,0.6100,0.6186,0.6263
3/1/2000,0.6175,0.6191,0.6005,0.6073,0.6098
4/1/2000,0.6068,0.6103,0.5815,0.5836,0.5959
5/1/2000,0.5847,0.5974,0.5645,0.5722,0.5810
6/1/2000,0.5725,0.6101,0.5681,0.5964,0.5891
7/1/2000,0.5972,0.6015,0.5745,0.5803,0.5880
8/1/2000,0.5808,0.5945,0.5665,0.5767,0.5805
9/1/2000,0.5764,0.5791,0.5358,0.5425,0.5575
10/1/2000,0.5428,0.5474,0.5108,0.5201,0.5291
11/1/2000,0.5190,0.5340,0.5073,0.5283,0.5207
12/1/2000,0.5284,0.5600,0.5275,0.5585,0.5437
1/1/2001,0.5590,0.5725,0.5410,0.5505,0.5568
2/1/2001,0.5504,0.5590,0.5209,0.5263,0.5400
3/1/2001,0.5263,0.5303,0.4850,0.4856,0.5076
4/1/2001,0.4854,0.5199,0.4775,0.5123,0.4987
5/1/2001,0.5125,0.5318,0.5039,0.5065,0.5179
6/1/2001,0.5064,0.5302,0.5037,0.5118,0.5170
7/1/2001,0.5117,0.5199,0.5011,0.5100,0.5105
8/1/2001,0.5100,0.5392,0.5081,0.5295,0.5236
9/1/2001,0.5285,0.5286,0.4822,0.4912,0.5054
10/1/2001,0.4926,0.5170,0.4902,0.5030,0.5036
11/1/2001,0.5034,0.5245,0.5026,0.5218,0.5135
12/1/2001,0.5218,0.5221,0.5043,0.5094,0.5132
1/1/2002,0.5098,0.5271,0.5052,0.5077,0.5161
2/1/2002,0.5078,0.5195,0.5057,0.5180,0.5126
3/1/2002,0.5180,0.5358,0.5165,0.5337,0.5262
4/1/2002,0.5332,0.5459,0.5258,0.5383,0.5359
5/1/2002,0.5385,0.5700,0.5342,0.5674,0.5521
6/1/2002,0.5674,0.5800,0.5557,0.5637,0.5678
7/1/2002,0.5634,0.5714,0.5346,0.5432,0.5530
8/1/2002,0.5433,0.5547,0.5230,0.5509,0.5389
9/1/2002,0.5499,0.5543,0.5396,0.5429,0.5470
10/1/2002,0.5429,0.5600,0.5401,0.5544,0.5501
11/1/2002,0.5542,0.5679,0.5542,0.5608,0.5611
12/1/2002,0.5607,0.5692,0.5561,0.5612,0.5627
1/1/2003,0.5595,0.5941,0.5595,0.5868,0.5768
2/1/2003,0.5868,0.6088,0.5821,0.6080,0.5955
3/1/2003,0.6080,0.6180,0.5875,0.6036,0.6028
4/1/2003,0.6036,0.6265,0.5924,0.6262,0.6095
5/1/2003,0.6262,0.6623,0.6253,0.6532,0.6438
6/1/2003,0.6532,0.6741,0.6480,0.6735,0.6611
7/1/2003,0.6735,0.6845,0.6440,0.6484,0.6643
8/1/2003,0.6484,0.6630,0.6352,0.6471,0.6491
9/1/2003,0.6471,0.6870,0.6340,0.6797,0.6605
10/1/2003,0.6797,0.7106,0.6756,0.7075,0.6931
11/1/2003,0.7075,0.7265,0.6942,0.7242,0.7104
12/1/2003,0.7242,0.7537,0.7228,0.7521,0.7383
1/1/2004,0.7519,0.7814,0.7496,0.7637,0.7655
2/1/2004,0.7636,0.8008,0.7561,0.7729,0.7784
3/1/2004,0.7736,0.7772,0.7255,0.7664,0.7513
4/1/2004,0.7666,0.7693,0.7125,0.7199,0.7409
5/1/2004,0.7198,0.7342,0.6798,0.7154,0.7070
6/1/2004,0.7073,0.7092,0.6772,0.7047,0.6932
7/1/2004,0.7047,0.7346,0.6932,0.6991,0.7139
8/1/2004,0.7035,0.7262,0.6955,0.7031,0.7108
9/1/2004,0.7031,0.7284,0.6850,0.7259,0.7067
10/1/2004,0.7259,0.7507,0.7184,0.7461,0.7346
11/1/2004,0.7461,0.7945,0.7432,0.7765,0.7689
12/1/2004,0.7765,0.7842,0.7441,0.7800,0.7641
1/1/2005,0.7800,0.7835,0.7503,0.7738,0.7669
2/1/2005,0.7738,0.7956,0.7611,0.7870,0.7783
3/1/2005,0.7870,0.7988,0.7666,0.7709,0.7827
4/1/2005,0.7709,0.7831,0.7626,0.7787,0.7729
5/1/2005,0.7802,0.7825,0.7528,0.7603,0.7676
6/1/2005,0.7493,0.7808,0.7481,0.7617,0.7645
7/1/2005,0.7501,0.7687,0.7365,0.7597,0.7526
8/1/2005,0.7614,0.7753,0.7463,0.7488,0.7608
9/1/2005,0.7624,0.7762,0.7527,0.7597,0.7645
10/1/2005,0.7625,0.7644,0.7436,0.7495,0.7540
11/1/2005,0.7441,0.7450,0.7260,0.7376,0.7355
12/1/2005,0.7417,0.7578,0.7232,0.7313,0.7405
1/1/2006,0.7327,0.7588,0.7316,0.7580,0.7452
2/1/2006,0.7580,0.7588,0.7344,0.7424,0.7466
3/1/2006,0.7422,0.7486,0.7016,0.7160,0.7251
4/1/2006,0.7164,0.7580,0.7116,0.7559,0.7348
5/1/2006,0.7595,0.7791,0.7493,0.7517,0.7642
6/1/2006,0.7520,0.7545,0.7273,0.7429,0.7409
7/1/2006,0.7429,0.7674,0.7403,0.7654,0.7538
8/1/2006,0.7653,0.7712,0.7554,0.7634,0.7633
9/1/2006,0.7637,0.7719,0.7438,0.7451,0.7579
10/1/2006,0.7456,0.7752,0.7417,0.7735,0.7585
11/1/2006,0.7736,0.7901,0.7618,0.7890,0.7760
12/1/2006,0.7887,0.7929,0.7780,0.7891,0.7854
1/1/2007,0.7921,0.7979,0.7700,0.7767,0.7840
2/1/2007,0.7767,0.7945,0.7711,0.7874,0.7828
3/1/2007,0.7875,0.8121,0.7684,0.8089,0.7903
4/1/2007,0.8099,0.8390,0.8066,0.8295,0.8228
5/1/2007,0.8297,0.8351,0.8166,0.8275,0.8258
6/1/2007,0.8269,0.8521,0.8269,0.8480,0.8395
7/1/2007,0.8488,0.8870,0.8462,0.8505,0.8666
8/1/2007,0.8496,0.8661,0.7677,0.8182,0.8169
9/1/2007,0.8184,0.8885,0.8156,0.8872,0.8520
10/1/2007,0.8886,0.9344,0.8755,0.9318,0.9049
11/1/2007,0.9317,0.9399,0.8654,0.8830,0.9026
12/1/2007,0.8828,0.8903,0.8556,0.8770,0.8730
1/1/2008,0.8800,0.9018,0.8515,0.8957,0.8767
2/1/2008,0.8955,0.9496,0.8877,0.9315,0.9186
3/1/2008,0.9295,0.9471,0.8958,0.9134,0.9215
4/1/2008,0.9136,0.9540,0.9033,0.9432,0.9286
5/1/2008,0.9431,0.9653,0.9277,0.9558,0.9465
6/1/2008,0.9541,0.9666,0.9329,0.9580,0.9497
7/1/2008,0.9581,0.9847,0.9400,0.9411,0.9624
8/1/2008,0.9412,0.9416,0.8495,0.8585,0.8956
9/1/2008,0.8549,0.8553,0.7804,0.7946,0.8178
10/1/2008,0.7940,0.8018,0.6011,0.6657,0.7014
11/1/2008,0.6698,0.7014,0.6079,0.6546,0.6546
12/1/2008,0.6546,0.7136,0.6292,0.7059,0.6714
1/1/2009,0.6974,0.7268,0.6348,0.6352,0.6808
2/1/2009,0.6347,0.6848,0.6251,0.6393,0.6549
3/1/2009,0.6378,0.7092,0.6287,0.6913,0.6690
4/1/2009,0.6907,0.7383,0.6859,0.7252,0.7121
5/1/2009,0.7250,0.8012,0.7244,0.8007,0.7628
6/1/2009,0.8009,0.8263,0.7791,0.8057,0.8027
7/1/2009,0.8053,0.8365,0.7703,0.8361,0.8034
8/1/2009,0.8355,0.8477,0.8158,0.8435,0.8317
9/1/2009,0.8433,0.8846,0.8242,0.8837,0.8544
10/1/2009,0.8837,0.9327,0.8571,0.9001,0.8949
11/1/2009,0.8990,0.9405,0.8909,0.9156,0.9157
12/1/2009,0.9159,0.9321,0.8736,0.8974,0.9029
1/1/2010,0.8975,0.9329,0.8841,0.8841,0.9085
2/1/2010,0.8800,0.9070,0.8580,0.8960,0.8825
3/1/2010,0.8976,0.9251,0.8937,0.9170,0.9094
4/1/2010,0.9165,0.9385,0.9137,0.9249,0.9261
5/1/2010,0.9224,0.9274,0.8068,0.8471,0.8671
6/1/2010,0.8469,0.8858,0.8084,0.8395,0.8471
7/1/2010,0.8406,0.9068,0.8317,0.9044,0.8693
8/1/2010,0.9056,0.9221,0.8774,0.8920,0.8998
9/1/2010,0.8924,0.9733,0.8914,0.9657,0.9324
10/1/2010,0.9656,1.0002,0.9543,0.9798,0.9772
11/1/2010,0.9850,1.0182,0.9545,0.9590,0.9864
12/1/2010,0.9586,1.0256,0.9539,1.0233,0.9898
1/1/2011,1.0203,1.0223,0.9806,0.9969,1.0014
2/1/2011,0.9971,1.0199,0.9945,1.0183,1.0072
3/1/2011,1.0181,1.0372,0.9710,1.0332,1.0041
4/1/2011,1.0330,1.0976,1.0290,1.0966,1.0633
5/1/2011,1.0953,1.1011,1.0442,1.0657,1.0726
6/1/2011,1.0656,1.0774,1.0392,1.0713,1.0583
7/1/2011,1.0707,1.1079,1.0527,1.0985,1.0803
8/1/2011,1.0999,1.1064,0.9930,1.0683,1.0497
9/1/2011,1.0686,1.0764,0.9624,0.9678,1.0194
10/1/2011,0.9661,1.0752,0.9389,1.0539,1.0070
11/1/2011,1.0541,1.0566,0.9665,1.0278,1.0115
12/1/2011,1.0277,1.0379,0.9863,1.0215,1.0121
1/1/2012,1.0229,1.0687,1.0147,1.0615,1.0417
2/1/2012,1.0617,1.0855,1.0571,1.0730,1.0713
3/1/2012,1.0729,1.0816,1.0306,1.0343,1.0561
4/1/2012,1.0434,1.0473,1.0228,1.0426,1.0350
5/1/2012,1.0427,1.0429,0.9675,0.9725,1.0052
6/1/2012,0.9727,1.0256,0.9598,1.0242,0.9927
7/1/2012,1.0235,1.0537,1.0102,1.0489,1.0319
8/1/2012,1.0493,1.0612,1.0278,1.0317,1.0445
9/1/2012,1.0274,1.0624,1.0168,1.0378,1.0396
10/1/2012,1.0366,1.0410,1.0151,1.0374,1.0280
11/1/2012,1.0374,1.0489,1.0289,1.0426,1.0389
12/1/2012,1.0435,1.0584,1.0347,1.0392,1.0465
1/1/2013,1.0470,1.0597,1.0381,1.0426,1.0489
2/1/2013,1.0424,1.0457,1.0185,1.0215,1.0321
3/1/2013,1.0213,1.0496,1.0117,1.0416,1.0306
4/1/2013,1.0405,1.0581,1.0222,1.0366,1.0402
5/1/2013,1.0365,1.0381,0.9529,0.9570,0.9955
6/1/2013,0.9622,0.9791,0.9115,0.9132,0.9453
7/1/2013,0.9136,0.9317,0.8928,0.8949,0.9123
8/1/2013,0.8944,0.9232,0.8849,0.8901,0.9041
9/1/2013,0.8935,0.9527,0.8927,0.9325,0.9227
10/1/2013,0.9322,0.9757,0.9291,0.9457,0.9524
11/1/2013,0.9459,0.9542,0.9057,0.9107,0.9300
12/1/2013,0.9127,0.9167,0.8823,0.8927,0.8995
1/1/2014,0.8913,0.9085,0.8661,0.8750,0.8873
2/1/2014,0.8765,0.9080,0.8731,0.8930,0.8906
3/1/2014,0.8893,0.9294,0.8892,0.9269,0.9093
4/1/2014,0.9265,0.9460,0.9207,0.9281,0.9334
5/1/2014,0.9285,0.9408,0.9204,0.9311,0.9306
6/1/2014,0.9306,0.9444,0.9231,0.9430,0.9338
7/1/2014,0.9430,0.9504,0.9281,0.9295,0.9392
8/1/2014,0.9294,0.9373,0.9239,0.9332,0.9306
9/1/2014,0.9324,0.9401,0.8685,0.8747,0.9043
10/1/2014,0.8746,0.8910,0.8644,0.8794,0.8777
11/1/2014,0.8750,0.8795,0.8481,0.8509,0.8638
12/1/2014,0.8466,0.8541,0.8089,0.8160,0.8315
1/1/2015,0.8128,0.8295,0.7720,0.7769,0.8008
2/1/2015,0.7752,0.7913,0.7627,0.7813,0.7770
3/1/2015,0.7807,0.7938,0.7561,0.7613,0.7749
4/1/2015,0.7611,0.8075,0.7533,0.7902,0.7804
5/1/2015,0.7902,0.8163,0.7618,0.7640,0.7891
6/1/2015,0.7635,0.7849,0.7588,0.7703,0.7718
7/1/2015,0.7703,0.7739,0.7257,0.7307,0.7498
